_id,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
617082fa2299cb9f2c271852,nm0000167,Elizabeth Hurley,1965,\N,"actress,producer","tt0230030,tt0118655,tt0105104,tt0145660"
617082fa2299cb9f2c271853,nm0000168,Samuel L. Jackson,1948,\N,"actor,producer,soundtrack","tt0110912,tt0417148,tt3460252,tt4154664"
617082fa2299cb9f2c271854,nm0000169,Tommy Lee Jones,1946,\N,"actor,director,soundtrack","tt0477348,tt2398231,tt0106977,tt0443272"
617082fa2299cb9f2c271855,nm0000170,Milla Jovovich,1975,\N,"actress,soundtrack,producer","tt1220198,tt1220634,tt0119116,tt0120804"
617082fa2299cb9f2c271856,nm0000171,Ashley Judd,1968,\N,"actress,producer,director","tt0113277,tt0119468,tt0150377,tt0470705"
617082fa2299cb9f2c271857,nm0000172,Harvey Keitel,1939,\N,"actor,producer,soundtrack","tt2278388,tt0110912,tt0103759,tt0105236"
617082fa2299cb9f2c271858,nm0000173,Nicole Kidman,1967,\N,"actress,producer,soundtrack","tt0935075,tt0274558,tt0159365,tt0203009"
617082fa2299cb9f2c271859,nm0000174,Val Kilmer,1959,\N,"actor,soundtrack,producer","tt0113277,tt0101761,tt0373469,tt0120053"
617082fa2299cb9f2c27185a,nm0000175,Stephen King,1947,\N,"writer,producer,actor","tt0091499,tt0111161,tt0083767,tt0324864"
617082fa2299cb9f2c27185b,nm0000183,Traci Lords,1968,\N,"actress,soundtrack,producer","tt1984153,tt1007028,tt0099329,tt0120611"
617082fa2299cb9f2c27185c,nm0000184,George Lucas,1944,\N,"writer,producer,director","tt0082971,tt0076759,tt0069704,tt0066434"
617082fa2299cb9f2c27185d,nm0000185,Dolph Lundgren,1957,\N,"actor,producer,director","tt0093507,tt0113481,tt0089927,tt0105698"
617082fa2299cb9f2c27185e,nm0000186,David Lynch,1946,\N,"writer,director,producer","tt0460829,tt0166924,tt0105665,tt0098936"
617082fa2299cb9f2c27185f,nm0000187,Madonna,1958,\N,"music_artist,soundtrack,actress","tt0104694,tt0246460,tt0156841,tt0116250"
617082fa2299cb9f2c271860,nm0000188,Steve Martin,1945,\N,"writer,actor,producer","tt0079367,tt0093886,tt0102250,tt0383216"
617082fa2299cb9f2c271861,nm0000189,Jenny McCarthy-Wahlberg,1972,\N,"actress,producer,writer","tt0327643,tt0455967,tt0131857,tt0134084"
617082fa2299cb9f2c271862,nm0000190,Matthew McConaughey,1969,\N,"actor,producer,soundtrack","tt1935179,tt1915581,tt0790636,tt0816692"
617082fa2299cb9f2c271863,nm0000191,Ewan McGregor,1971,\N,"actor,producer,writer","tt0203009,tt0117951,tt2763304,tt1322269"
617082fa2299cb9f2c271864,nm0000192,Alyssa Milano,1972,\N,"actress,producer,soundtrack","tt0086827,tt0088944,tt0116287,tt0158552"
617082fa2299cb9f2c271865,nm0000193,Demi Moore,1962,\N,"actress,producer,soundtrack","tt0119173,tt0099653,tt0107211,tt0305357"
617082fa2299cb9f2c271866,nm0000194,Julianne Moore,1960,\N,"actress,producer,soundtrack","tt0842926,tt0118749,tt3316960,tt0297884"
617082fa2299cb9f2c271867,nm0000195,Bill Murray,1950,\N,"actor,soundtrack,writer","tt0362270,tt0128445,tt1748122,tt0335266"
617082fa2299cb9f2c271868,nm0000196,Mike Myers,1963,\N,"actor,writer,soundtrack","tt0118655,tt0145660,tt0295178,tt0811138"
617082fa2299cb9f2c271869,nm0000197,Jack Nicholson,1937,\N,"actor,soundtrack,producer","tt0073486,tt0071315,tt0407887,tt0119822"
617082fa2299cb9f2c27186a,nm0000198,Gary Oldman,1958,\N,"actor,producer,soundtrack","tt4555426,tt0468569,tt0103874,tt1340800"
617082fa2299cb9f2c27186b,nm0000199,Al Pacino,1940,\N,"actor,director,soundtrack","tt0099422,tt0068646,tt0072890,tt0070666"
617082fa2299cb9f2c27186c,nm0000200,Bill Paxton,1955,2017,"actor,producer,writer","tt0090605,tt0112384,tt0117998,tt0264616"
617082fa2299cb9f2c27186d,nm0000176,Nastassja Kinski,1961,\N,"actress,producer,soundtrack","tt0080009,tt0083722,tt0087884,tt0111400"
617082fa2299cb9f2c27186e,nm0000177,Kevin Kline,1947,\N,"actor,soundtrack,director","tt0095159,tt0106673,tt0113117,tt0120891"
617082fa2299cb9f2c27186f,nm0000178,Diane Lane,1965,\N,"actress,soundtrack","tt2096673,tt0086066,tt0250797,tt0328589"
617082fa2299cb9f2c271870,nm0000179,Jude Law,1972,\N,"actor,producer,soundtrack","tt2278388,tt0376541,tt0134119,tt0346156"
617082fa2299cb9f2c271871,nm0000180,David Lean,1908,1991,"editor,director,writer","tt0056172,tt0059113,tt0038574,tt0050212"
617082fa2299cb9f2c271872,nm0000181,Heather Locklear,1961,\N,"actress,producer,soundtrack","tt0098193,tt0380623,tt0119695,tt0103491"
617082fa2299cb9f2c271873,nm0000182,Jennifer Lopez,1969,\N,"music_artist,producer,actress","tt5503686,tt0252076,tt0120780,tt2126357"
617082fa2299cb9f2c271874,nm0000201,Michelle Pfeiffer,1958,\N,"actress,soundtrack,producer","tt5109784,tt0427327,tt0161081,tt0117247"
617082fa2299cb9f2c271875,nm0000202,Ryan Phillippe,1974,\N,"actor,producer,director","tt0120577,tt0375679,tt0139134,tt0280707"
617082fa2299cb9f2c271876,nm0000203,River Phoenix,1970,1993,"actor,soundtrack","tt0102494,tt0096018,tt0092005,tt0091557"
617082fa2299cb9f2c271877,nm0000204,Natalie Portman,1981,\N,"actress,producer,soundtrack","tt0947798,tt0376541,tt0110413,tt0434409"
617082fa2299cb9f2c271878,nm0000205,Parker Posey,1968,\N,"actress,producer,soundtrack","tt0359013,tt0106677,tt0134084,tt0348150"
617082fa2299cb9f2c271879,nm0000206,Keanu Reeves,1964,\N,"actor,producer,soundtrack","tt0133093,tt0102685,tt0111257,tt0234215"
617082fa2299cb9f2c27187a,nm0000207,Christina Ricci,1980,\N,"actress,producer,soundtrack","tt0118789,tt0112642,tt0100140,tt0811080"
617082fa2299cb9f2c27187b,nm0000208,Molly Ringwald,1968,\N,"actress,soundtrack,music_department","tt0088847,tt0088128,tt0091790,tt0095169"
617082fa2299cb9f2c27187c,nm0000209,Tim Robbins,1958,\N,"actor,producer,director","tt0111161,tt0327056,tt0091225,tt0105151"
617082fa2299cb9f2c27187d,nm0000217,Martin Scorsese,1942,\N,"producer,director,actor","tt0075314,tt0070379,tt5537002,tt0099685"
617082fa2299cb9f2c27187e,nm0000218,Kristin Scott Thomas,1960,\N,"actress,soundtrack,writer","tt0116209,tt0109831,tt0280707,tt1602613"
617082fa2299cb9f2c27187f,nm0000219,Steven Seagal,1952,\N,"actor,producer,writer","tt0094602,tt0110725,tt0105690,tt0114781"
617082fa2299cb9f2c271880,nm0000220,Joan Severance,1958,\N,"actress,producer,miscellaneous","tt0098282,tt0099141,tt0143050,tt0112519"
617082fa2299cb9f2c271881,nm0000221,Charlie Sheen,1965,\N,"actor,producer,soundtrack","tt0094291,tt0369179,tt0108333,tt0107144"
617082fa2299cb9f2c271882,nm0000222,Brooke Shields,1965,\N,"actress,producer,soundtrack","tt0080116,tt0082329,tt0080453,tt0078111"
617082fa2299cb9f2c271883,nm0000223,Elisabeth Shue,1963,\N,"actress,producer,soundtrack","tt0120053,tt0113627,tt0092513,tt0164052"
617082fa2299cb9f2c271884,nm0000224,Alicia Silverstone,1976,\N,"actress,producer,soundtrack","tt0112697,tt0118688,tt0119086,tt0124298"
617082fa2299cb9f2c271885,nm0000225,Christian Slater,1969,\N,"actor,producer,soundtrack","tt0124198,tt0102798,tt0108399,tt0115759"
617082fa2299cb9f2c271886,nm0000226,Will Smith,1968,\N,"producer,actor,soundtrack","tt0116629,tt0098800,tt0119654,tt0480249"
617082fa2299cb9f2c271887,nm0000227,Mira Sorvino,1967,\N,"actress,producer,soundtrack","tt0113819,tt0364343,tt0120032,tt0120008"
617082fa2299cb9f2c271888,nm0000228,Kevin Spacey,1959,\N,"actor,producer,soundtrack","tt0119488,tt0169547,tt0114814,tt0114369"
617082fa2299cb9f2c271889,nm0000229,Steven Spielberg,1946,\N,"producer,writer,director","tt0083866,tt0082971,tt0108052,tt0120815"
617082fa2299cb9f2c27188a,nm0000230,Sylvester Stallone,1946,\N,"actor,producer,writer","tt0075148,tt0084602,tt3076658,tt0089927"
617082fa2299cb9f2c27188b,nm0000231,Oliver Stone,1946,\N,"director,producer,writer","tt0110632,tt0102138,tt0096969,tt0091763"
617082fa2299cb9f2c27188c,nm0000232,Sharon Stone,1958,\N,"actress,producer,soundtrack","tt0114214,tt0112641,tt0108162,tt0103772"
617082fa2299cb9f2c27188d,nm0000233,Quentin Tarantino,1963,\N,"writer,actor,producer","tt0110912,tt0116367,tt7131622,tt0105236"
617082fa2299cb9f2c27188e,nm0000234,Charlize Theron,1975,\N,"producer,actress,soundtrack","tt1392190,tt1735898,tt5610554,tt0340855"
617082fa2299cb9f2c27188f,nm0000210,Julia Roberts,1967,\N,"actress,producer,soundtrack","tt0119738,tt0195685,tt0100405,tt1322269"
